Region,Scenario Type,Scenario Label,Original Time,Original Interchange,Original Solar,Modified Solar,Solar Irradiance,Original Pct Solar,Modified Solar Pct,Original Wind,Modified Wind,Wind Speed,Original Pct Wind,Modified Wind Pct,Baseline Prediction,Modified Prediction,Delta Prediction,Delta Prediction (%)
MIDW,Median Deficit,Solar +50%,2023-12-09 19:00:00,-4277,996,1494.0,331.05,1.408789374672909,2.101443159760317,24217,24217.0,12.09,34.253666954270926,34.06335274425409,-3800.5295,-3800.5295,0.0,0.0
MIDW,Median Deficit,Wind +50%,2023-12-09 19:00:00,-4277,996,996.0,331.05,1.408789374672909,1.4009621065068782,24217,36325.5,12.09,34.253666954270926,51.09502911638113,-3800.5295,-3800.5295,0.0,0.0
MIDW,Median Deficit,Solar +200%,2023-12-09 19:00:00,-4277,996,2988.0,331.05,1.408789374672909,4.202886319520634,24217,24217.0,12.09,34.253666954270926,34.06335274425409,-3800.5295,-3800.5295,0.0,0.0
MIDW,Median Deficit,Wind +200%,2023-12-09 19:00:00,-4277,996,996.0,331.05,1.408789374672909,1.4009621065068782,24217,72651.0,12.09,34.253666954270926,102.19005823276225,-3800.5295,-3800.5295,0.0,0.0
MIDW,Median Deficit,Solar +400%,2023-12-09 19:00:00,-4277,996,4980.0,331.05,1.408789374672909,7.004810532534391,24217,24217.0,12.09,34.253666954270926,34.06335274425409,-3800.5295,-3800.5295,0.0,0.0
MIDW,Median Deficit,Wind +400%,2023-12-09 19:00:00,-4277,996,996.0,331.05,1.408789374672909,1.4009621065068782,24217,121085.0,12.09,34.253666954270926,170.31676372127043,-3800.5295,-3800.5295,0.0,0.0
MIDW,Median Deficit,Solar +900%,2023-12-09 19:00:00,-4277,996,9960.0,331.05,1.408789374672909,14.009621065068782,24217,24217.0,12.09,34.253666954270926,34.06335274425409,-3800.5295,-3800.0913,0.43823242,0.011530825577210635
MIDW,Median Deficit,Wind +900%,2023-12-09 19:00:00,-4277,996,996.0,331.05,1.408789374672909,1.4009621065068782,24217,242170.0,12.09,34.253666954270926,340.63352744254087,-3800.5295,-3800.5295,0.0,0.0
MIDW,Median Deficit,Solar+Wind +10%,2023-12-09 19:00:00,-4277,996,1095.6000000000001,331.05,1.408789374672909,1.5410583171575662,24217,26638.7,12.09,34.253666954270926,37.4696880186795,-3800.5295,-3800.5295,0.0,0.0
MIDW,Median Deficit,Solar+Wind +25%,2023-12-09 19:00:00,-4277,996,1245.0,331.05,1.408789374672909,1.7512026331335977,24217,30271.25,12.09,34.253666954270926,42.57919093031761,-3800.5295,-3800.5295,0.0,0.0
MIDW,Median Deficit,Solar+Wind +50%,2023-12-09 19:00:00,-4277,996,1494.0,331.05,1.408789374672909,2.101443159760317,24217,36325.5,12.09,34.253666954270926,51.09502911638113,-3800.5295,-3800.5295,0.0,0.0
MIDW,Median Deficit,Solar+Wind +200%,2023-12-09 19:00:00,-4277,996,2988.0,331.05,1.408789374672909,4.202886319520634,24217,72651.0,12.09,34.253666954270926,102.19005823276225,-3800.5295,-3800.5295,0.0,0.0
MIDW,Median Deficit,Solar+Wind +400%,2023-12-09 19:00:00,-4277,996,4980.0,331.05,1.408789374672909,7.004810532534391,24217,121085.0,12.09,34.253666954270926,170.31676372127043,-3800.5295,-3800.5295,0.0,0.0
MIDW,Median Deficit,Solar+Wind +900%,2023-12-09 19:00:00,-4277,996,9960.0,331.05,1.408789374672909,14.009621065068782,24217,242170.0,12.09,34.253666954270926,340.63352744254087,-3800.5295,-3800.0913,0.43823242,0.011530825577210635
MIDW,Winter Peak,Solar +10%,2023-02-24 16:00:00,-9647,1439,1582.9,449.3,1.837263639033234,1.998787771646484,1834,1834.0,5.1,2.341585485744928,2.3158612503630374,-9154.604,-9154.604,0.0,0.0
MIDW,Winter Peak,Wind +10%,2023-02-24 16:00:00,-9647,1439,1439.0,449.3,1.837263639033234,1.8170797924058943,1834,2017.4,5.1,2.341585485744928,2.547447375399341,-9154.604,-9154.604,0.0,0.0
MIDW,Winter Peak,Solar +25%,2023-02-24 16:00:00,-9647,1439,1798.75,449.3,1.837263639033234,2.271349740507368,1834,1834.0,5.1,2.341585485744928,2.3158612503630374,-9154.604,-9154.604,0.0,0.0
MIDW,Winter Peak,Wind +25%,2023-02-24 16:00:00,-9647,1439,1439.0,449.3,1.837263639033234,1.8170797924058943,1834,2292.5,5.1,2.341585485744928,2.8948265629537966,-9154.604,-9154.604,0.0,0.0
MIDW,Winter Peak,Solar +50%,2023-02-24 16:00:00,-9647,1439,2158.5,449.3,1.837263639033234,2.725619688608842,1834,1834.0,5.1,2.341585485744928,2.3158612503630374,-9154.604,-9154.604,0.0,0.0
MIDW,Winter Peak,Wind +50%,2023-02-24 16:00:00,-9647,1439,1439.0,449.3,1.837263639033234,1.8170797924058943,1834,2751.0,5.1,2.341585485744928,3.473791875544556,-9154.604,-9154.604,0.0,0.0
MIDW,Winter Peak,Solar +200%,2023-02-24 16:00:00,-9647,1439,4317.0,449.3,1.837263639033234,5.451239377217684,1834,1834.0,5.1,2.341585485744928,2.3158612503630374,-9154.604,-9154.604,0.0,0.0
MIDW,Winter Peak,Wind +200%,2023-02-24 16:00:00,-9647,1439,1439.0,449.3,1.837263639033234,1.8170797924058943,1834,5502.0,5.1,2.341585485744928,6.947583751089112,-9154.604,-9154.604,0.0,0.0
MIDW,Winter Peak,Solar +400%,2023-02-24 16:00:00,-9647,1439,7195.0,449.3,1.837263639033234,9.085398962029473,1834,1834.0,5.1,2.341585485744928,2.3158612503630374,-9154.604,-9154.604,0.0,0.0
MIDW,Winter Peak,Wind +400%,2023-02-24 16:00:00,-9647,1439,1439.0,449.3,1.837263639033234,1.8170797924058943,1834,9170.0,5.1,2.341585485744928,11.579306251815186,-9154.604,-9099.047,55.55664,0.6068710703402758
MIDW,Winter Peak,Solar +900%,2023-02-24 16:00:00,-9647,1439,14390.0,449.3,1.837263639033234,18.170797924058945,1834,1834.0,5.1,2.341585485744928,2.3158612503630374,-9154.604,-9095.262,59.341797,0.6482181139290333
MIDW,Winter Peak,Wind +900%,2023-02-24 16:00:00,-9647,1439,1439.0,449.3,1.837263639033234,1.8170797924058943,1834,18340.0,5.1,2.341585485744928,23.158612503630373,-9154.604,-9079.972,74.631836,0.8152383379638195
MIDW,Winter Peak,Solar+Wind +10%,2023-02-24 16:00:00,-9647,1439,1582.9,449.3,1.837263639033234,1.998787771646484,1834,2017.4,5.1,2.341585485744928,2.547447375399341,-9154.604,-9154.604,0.0,0.0
MIDW,Winter Peak,Solar+Wind +25%,2023-02-24 16:00:00,-9647,1439,1798.75,449.3,1.837263639033234,2.271349740507368,1834,2292.5,5.1,2.341585485744928,2.8948265629537966,-9154.604,-9154.604,0.0,0.0
